timestamp,cpu_percent,ram_used_mb,gpu_percent,vram_used_mb
2025-05-09 16:01:30,10.7,12655.1,10,1035.64
2025-05-09 16:01:31,12.8,12634.69,22,1035.64
2025-05-09 16:01:32,16.1,12635.26,35,1033.14
2025-05-09 16:01:33,15.9,12626.14,31,1021.14
2025-05-09 16:01:34,14.2,12631.09,31,1023.64
2025-05-09 16:01:35,16.0,12624.08,30,1024.89
2025-05-09 16:01:36,24.3,13497.77,15,1024.89
2025-05-09 16:01:37,26.9,14109.09,15,1024.33
2025-05-09 16:01:38,18.3,14523.92,68,1024.45
2025-05-09 16:01:39,23.9,14983.63,5,1028.61
2025-05-09 16:01:40,22.4,15081.71,6,1035.3
2025-05-09 16:01:41,21.3,14657.55,33,1034.48
2025-05-09 16:01:42,25.8,14742.11,33,1028.48
2025-05-09 16:01:43,19.6,14522.45,22,1028.48
2025-05-09 16:01:44,20.4,14585.5,5,1025.73
2025-05-09 16:01:45,24.4,15003.41,23,1020.48
2025-05-09 16:01:46,23.0,15132.09,96,1020.48
2025-05-09 16:01:47,22.0,14757.89,5,1020.48
2025-05-09 16:01:48,23.2,14537.36,7,1020.48
2025-05-09 16:01:49,21.3,14640.14,7,1020.48
2025-05-09 16:01:50,22.4,14582.84,31,1020.3
2025-05-09 16:01:52,36.7,14540.21,34,1020.3
2025-05-09 16:01:53,30.2,14575.36,34,1020.05
2025-05-09 16:01:54,27.8,14654.73,7,1020.05
2025-05-09 16:01:55,24.4,14483.02,20,1019.73
2025-05-09 16:01:56,22.7,14589.57,33,1019.73
2025-05-09 16:01:57,21.4,14485.62,15,1019.73
2025-05-09 16:01:58,26.2,14587.68,6,1019.73
2025-05-09 16:01:59,22.6,14421.59,5,1019.73
2025-05-09 16:02:00,23.7,14568.59,34,1019.73
2025-05-09 16:02:01,22.5,14470.75,33,1019.73
2025-05-09 16:02:02,40.1,14547.16,34,1021.23
2025-05-09 16:02:03,26.3,14547.08,33,1021.23
2025-05-09 16:02:04,29.9,14629.72,13,1021.23
2025-05-09 16:02:05,25.7,14423.32,6,1021.23
2025-05-09 16:02:06,23.4,14491.15,6,1019.73
2025-05-09 16:02:07,34.4,14529.75,4,1019.73
2025-05-09 16:02:08,24.7,14635.38,7,1019.73
2025-05-09 16:02:09,30.4,14462.92,32,1019.73
2025-05-09 16:02:10,22.2,14595.3,6,1021.23
2025-05-09 16:02:11,26.3,14418.53,4,1021.23
2025-05-09 16:02:12,28.5,14470.84,11,1019.23
2025-05-09 16:02:13,26.7,14609.93,35,1019.73
2025-05-09 16:02:14,21.4,14498.81,96,1019.73
2025-05-09 16:02:15,23.1,14471.92,4,1019.48
2025-05-09 16:02:16,22.8,14475.04,5,1019.48
